[ 2026-08-17 12:10:02,778] 16 root - INFO - Initiate the data ingestion
[ 2026-08-17 12:10:05,108] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-17 12:10:05,108] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-17 12:10:05,110] 75 root - INFO - Exporting train and test file path.
[ 2026-08-17 12:10:05,182] 84 root - INFO - Exported train and test file path.
[ 2026-08-17 12:10:05,182] 18 root - INFO - Data Initiation completed
[ 2026-08-17 12:10:05,193] 22 root - INFO - Initiate the data validation
[ 2026-08-17 12:10:05,227] 32 root - INFO - Required number of columns:2
[ 2026-08-17 12:10:05,227] 33 root - INFO - Data frame has columns:31
[ 2026-08-17 12:10:05,227] 32 root - INFO - Required number of columns:2
[ 2026-08-17 12:10:05,227] 33 root - INFO - Data frame has columns:31
